floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,14,1.7668264692097064,1.51,1.77,1.51,38.55
1,14,1.787917277641709,1.9,3.56,3.41,39.14
2,14,1.8092408140436953,1.61,5.37,5.02,39.88
3,14,1.830574477218812,2.12,7.2,7.14,40.51
4,14,1.8557953391615913,2.05,9.06,9.19,41.33
5,14,1.8823452248255756,1.98,10.94,11.17,42.12
6,14,1.9067770827107657,2.15,12.85,13.32,42.89
7,14,1.9335468831544826,1.9,14.78,15.22,43.72
8,14,1.9552250152983723,2.06,16.74,17.28,44.44
9,14,1.988691003247803,2.13,18.73,19.41,45.23
10,14,2.015413528003757,1.93,20.75,21.34,46.05
11,14,2.0337154934101247,2.0,22.78,23.34,46.78
12,14,2.059918738572132,1.79,24.84,25.13,47.55
13,14,2.0676997530000394,1.98,26.91,27.11,48.22
14,14,2.096984536261098,2.09,29.01,29.2,48.97
15,14,2.1278299803684404,2.37,31.14,31.57,49.76
16,14,2.147452709205586,2.4,33.29,33.97,50.66
17,14,2.1632269001404505,1.97,35.45,35.94,51.56
18,14,2.186029384264226,2.38,37.64,38.32,52.3
19,14,2.225066479269867,2.07,39.87,40.39,53.19
20,14,2.2456823323582906,2.31,42.12,42.7,53.96
21,14,2.2553673047384004,2.16,44.38,44.86,54.82
22,14,2.2768116825635474,2.0,46.66,46.86,55.62
23,14,2.2931462271806202,2.36,48.95,49.22,56.35
24,14,2.334979380210691,2.24,51.28,51.46,57.22
25,14,2.354532149676026,2.35,53.63,53.81,58.05
26,14,2.3727194208129188,2.42,56.0,56.23,58.91
27,14,2.402510968140756,2.45,58.4,58.68,59.79
28,14,2.4129057603472934,2.42,60.81,61.1,60.69
29,14,2.420228634057469,2.14,63.23,63.24,61.57
30,14,2.43359853376634,2.33,65.66,65.57,62.34
31,14,2.4624163161922454,2.74,68.12,68.31,63.18
32,14,2.5311350736044833,2.52,70.65,70.83,64.17
33,14,2.542256270017733,2.72,73.19,73.55,65.08
34,14,2.5576836677245005,2.58,75.75,76.13,66.05
35,14,2.535222604042585,2.38,78.29,78.51,66.97
36,14,2.616563429056474,2.7,80.91,81.21,67.82
37,14,2.622883036782884,2.87,83.53,84.08,68.77
38,14,2.6200476729686137,2.4,86.15,86.48,69.79
39,14,2.6597980396507204,2.95,88.81,89.43,70.63
40,14,2.6548956956815886,2.57,91.46,92.0,71.67
41,14,2.641244514001349,2.66,94.1,94.66,72.57
42,14,2.7009429478703746,2.51,96.8,97.17,73.5
43,14,2.715278246829956,2.63,99.52,99.8,74.37
44,14,2.6858284259626846,2.61,102.21,102.41,75.28
45,14,2.7277597158054734,2.89,104.94,105.3,76.18
46,14,2.788606331151545,3.01,107.73,108.31,77.18
47,14,2.8102629486220687,2.6,110.54,110.91,78.21
48,14,2.816767408225132,2.55,113.36,113.46,79.1
49,14,2.800157544027421,2.52,116.16,115.98,79.97
50,14,2.7987104118181163,3.01,118.96,118.99,80.83
51,14,2.7760344967487454,2.69,121.74,121.68,81.85
52,14,2.8801770351314926,2.94,124.62,124.62,82.75
53,14,2.8917373170541083,2.91,127.51,127.53,83.74
54,14,2.8893085751824157,2.68,130.4,130.21,84.72
55,14,2.8271670173978745,2.96,133.23,133.17,85.61
56,14,2.922965601333632,3.01,136.15,136.18,86.6
57,14,2.927076481504077,2.91,139.08,139.09,87.6
58,14,2.9619677797593735,2.83,142.04,141.92,88.56
59,14,2.9646643190165225,3.03,145.0,144.95,89.49
60,14,2.9493428426948554,2.89,147.95,147.84,90.49
61,14,2.8973504151140297,2.86,150.85,150.7,91.43
62,14,2.868156922272431,3.09,153.72,153.79,92.36
63,14,2.9911329451583266,3.19,156.71,156.98,93.37
64,14,2.946963979273139,2.73,159.66,159.71,94.4
65,14,2.976875583767539,2.96,162.64,162.67,95.28
66,14,2.8862040851004904,2.79,165.53,165.46,96.23
67,14,2.9774546614614854,2.75,168.51,168.21,97.12
68,14,3.008315333746923,2.85,171.52,171.06,98.0
69,14,3.0028853842656704,2.81,174.52,173.87,98.9
70,14,3.002805679639818,3.17,177.52,177.04,99.79
71,14,2.912561452093704,2.81,180.43,179.85,100.79
72,14,3.0093447275791196,3.3,183.44,183.15,101.68
73,14,3.0544744697726682,2.96,186.49,186.11,102.71
74,14,2.955921885169812,3.12,189.45,189.23,103.63
75,14,2.9855705611185863,3.18,192.44,192.41,104.6
76,14,2.9683333357545694,3.02,195.41,195.43,105.59
77,14,2.9808038766166054,2.99,198.39,198.42,106.52
78,14,2.978351318884343,3.01,201.37,201.43,107.44
79,14,2.9787127456119986,3.24,204.35,204.67,108.36
80,14,2.933166748581576,2.95,207.28,207.62,109.35
81,14,2.96445741156386,3.02,210.24,210.64,110.25
82,14,2.9625241548064545,2.74,213.2,213.38,111.16
83,14,2.9181650268850463,3.09,216.12,216.47,111.99
84,14,2.982217512714801,2.77,219.1,219.24,112.92
85,14,3.0304455136702666,3.04,222.13,222.28,113.75
86,14,2.9992290427530275,2.83,225.13,225.11,114.66
87,14,3.068899640804342,3.16,228.2,228.27,115.5
88,14,2.942644817191847,3.18,231.14,231.45,116.44
89,14,2.939582467711258,2.85,234.08,234.3,117.37
90,14,2.9878483470023687,3.26,237.07,237.56,118.21
