floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,6,1.8350968213835641,1.64,1.84,1.64,38.0,15.59
1,6,1.859760951,1.85,3.7,3.49,38.63,15.59
2,6,1.8831348239999999,1.8,5.58,5.29,39.34,14.959999999999999
3,6,1.9131770009999995,1.85,7.49,7.14,40.03,15.529999999999998
4,6,1.9348825111605106,1.64,9.42,8.78,40.74,16.459999999999997
5,6,1.9485858269358565,2.21,11.37,10.99,41.37,15.149999999999999
6,6,1.9723786722604706,1.84,13.34,12.83,42.21,15.589999999999996
7,6,1.9906034536170896,1.75,15.33,14.58,42.91,15.689999999999998
8,6,2.007142587510374,1.76,17.34,16.34,43.57,16.11
9,6,2.023358093385916,1.75,19.36,18.09,44.24,16.249999999999996
10,6,2.0393805502860176,2.11,21.4,20.2,44.9,14.77
11,6,2.0594001680009852,1.95,23.46,22.15,45.7,14.689999999999998
12,6,2.06980406061287,1.89,25.53,24.04,46.43,17.119999999999994
13,6,2.0952866697820505,1.8,27.63,25.84,47.14,15.389999999999997
14,6,2.111592291490058,2.11,29.74,27.95,47.81,14.77
15,6,2.1292127916519643,2.42,31.87,30.37,48.6,15.529999999999998
16,6,2.148140019470028,2.45,34.02,32.82,49.5,15.86
17,6,2.1638216114345323,1.87,36.18,34.69,50.41,16.43
18,6,2.182154777549999,1.94,38.36,36.63,51.11,16.25
19,6,2.2078443992,1.93,40.57,38.56,51.82,15.719999999999999
20,6,2.2081970752999993,2.1,42.78,40.66,52.54,17.490000000000002
21,6,2.2539101300499995,2.23,45.03,42.89,53.31,15.509999999999998
22,6,2.2665100484499994,2.55,47.3,45.44,54.13,16.57
23,6,2.3012993932999994,2.2,49.6,47.64,55.06,15.870000000000001
24,6,2.3317049413,2.34,51.93,49.98,55.86,15.070000000000002
25,6,2.3552277060499995,2.11,54.29,52.09,56.71,15.149999999999999
26,6,2.3623729761999996,2.46,56.65,54.55,57.48,16.31
27,6,2.3905994284499994,2.65,59.04,57.2,58.37,16.01
28,6,2.433214461949999,2.15,61.47,59.35,59.33,14.59
29,6,2.4480969424999994,2.6,63.92,61.95,60.1,15.149999999999999
30,6,2.4766281842000004,2.3,66.4,64.25,61.03,14.819999999999999
31,6,2.50080354575,2.3,68.9,66.55,61.85,14.59
32,6,2.5092936112,2.79,71.41,69.34,62.68,15.52
33,6,2.5587980637,2.41,73.97,71.75,63.67,13.52
34,6,2.5614590612,2.36,76.53,74.11,64.52,15.100000000000001
35,6,2.5715410387999995,2.59,79.1,76.7,65.36,15.669999999999998
36,6,2.6134191877,2.62,81.71,79.32,66.27,14.479999999999997
37,6,2.616790859299999,2.54,84.33,81.86,67.19,15.519999999999998
38,6,2.6017580991999996,2.31,86.93,84.17,68.08,16.96
39,6,2.6171677860499996,2.72,89.55,86.89,68.89,17.01
40,6,2.641764898199999,2.93,92.19,89.82,69.83,16.82
41,6,2.70635290825,2.66,94.9,92.48,70.85,15.09
42,6,2.656421982699999,2.48,97.56,94.96,71.77,17.560000000000002
43,6,2.7074111332,2.48,100.27,97.44,72.63,16.46
44,6,2.7687793851999984,2.87,103.04,100.31,73.48,14.740000000000002
45,6,2.8120123348,2.57,105.85,102.88,74.46,13.600000000000001
46,6,2.830744045299999,2.55,108.68,105.43,75.34,13.57
47,6,2.782217556049999,2.63,111.46,108.06,76.21,16.169999999999998
48,6,2.8475503300000002,2.82,114.31,110.88,77.1,14.400000000000002
49,6,2.8707873717999997,3.0,117.18,113.88,78.06,14.180000000000003
50,6,2.904046023449999,2.77,120.08,116.65,79.07,13.55
51,6,2.9128862000000004,2.88,122.99,119.53,80.0,13.900000000000002
52,6,2.8947741089499996,2.85,125.88,122.38,80.97,15.150000000000002
53,6,2.8416140992000005,2.55,128.72,124.93,81.92,17.040000000000003
54,6,2.8734537861999994,2.79,131.59,127.72,82.77,16.540000000000003
55,6,2.882217591299999,2.71,134.47,130.43,83.69,16.64
56,6,2.9015399927999996,2.78,137.37,133.21,84.59,16.46
57,6,2.8901389344999986,2.85,140.26,136.06,85.5,17.01
58,6,2.9588615867999986,2.85,143.22,138.91,86.44,15.620000000000001
59,6,2.9508167226999995,3.23,146.17,142.14,87.37,16.119999999999997
60,6,2.948445622450001,3.2,149.12,145.34,88.43,16.469999999999995
61,6,2.9604514991999995,2.82,152.08,148.16,89.47,16.46
62,6,2.961876157199999,2.98,155.04,151.14,90.38,16.64
63,6,2.9849784642999992,2.96,158.02,154.1,91.34,16.35
64,6,2.94429181205,2.66,160.96,156.76,92.29,17.37
65,6,2.94209373625,2.93,163.9,159.69,93.15,17.55
66,6,2.9757031792,3.2,166.88,162.89,94.08,17.049999999999997
67,6,3.0414100944999984,3.07,169.92,165.96,95.1,15.89
68,6,3.0427532624499993,2.78,172.96,168.74,96.07,16.03
