floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,7,1.6683677319999997,1.9,1.67,1.9,36.0,15.59
1,7,1.6952700970499996,1.81,3.37,3.71,36.71,15.59
2,7,1.7190809967999998,1.74,5.09,5.45,37.39,15.34
3,7,1.7404806207999999,1.79,6.83,7.24,38.04,14.959999999999999
4,7,1.7706881223,1.69,8.6,8.93,38.71,15.799999999999997
5,7,1.7949359222999999,2.06,10.39,10.99,39.34,16.79
6,7,1.8200338924999995,1.92,12.21,12.91,40.1,17.35
7,7,1.8472393046999995,2.08,14.06,14.99,40.82,16.25
8,7,1.8739504480499996,1.87,15.93,16.86,41.59,16.43
9,7,1.8975413106999999,1.63,17.83,18.49,42.27,15.719999999999999
10,7,1.9155676889499993,1.74,19.75,20.23,42.87,14.77
11,7,1.9387866703,1.77,21.69,22.0,43.51,16.6
12,7,1.9620724527999995,1.72,23.65,23.72,44.16,16.09
13,7,1.98307839205,2.02,25.63,25.74,44.79,16.11
14,7,2.0070304114499997,2.02,27.64,27.76,45.53,16.25
15,7,2.0302730782,1.83,29.67,29.59,46.27,16.419999999999998
16,7,2.0550510304499996,2.0,31.73,31.59,46.93,15.529999999999998
17,7,2.0795923547999995,1.82,33.81,33.41,47.66,14.959999999999999
18,7,2.1005957071999997,2.24,35.91,35.65,48.32,15.34
19,7,2.1241737951999995,2.36,38.03,38.01,49.12,15.82
20,7,2.1424050504500003,2.43,40.17,40.44,49.97,16.809999999999995
21,7,2.1762495879999997,2.18,42.35,42.62,50.85,16.019999999999996
22,7,2.1939590519499994,1.95,44.54,44.57,51.63,16.61
23,7,2.213427359199999,2.36,46.75,46.93,52.32,16.67
24,7,2.2441142098,2.39,48.99,49.32,53.16,16.11
25,7,2.27940805405,2.32,51.27,51.64,54.01,14.77
26,7,2.2937732766999996,2.58,53.56,54.22,54.83,15.959999999999997
27,7,2.31787729325,2.25,55.88,56.47,55.75,16.11
28,7,2.331053269799999,2.6,58.21,59.07,56.54,16.699999999999996
29,7,2.369667545499999,2.14,60.58,61.21,57.45,15.719999999999999
30,7,2.3962169199999988,2.16,62.98,63.37,58.2,15.2
31,7,2.4006760528,2.62,65.38,65.99,58.96,16.36
32,7,2.4410036734499996,2.25,67.82,68.24,59.87,15.23
33,7,2.4699984182499994,2.45,70.29,70.69,60.65,14.490000000000002
34,7,2.489919846999999,2.73,72.78,73.42,61.5,14.739999999999998
35,7,2.4753365718,2.46,75.26,75.88,62.44,16.970000000000002
36,7,2.5204498535499993,2.74,77.78,78.62,63.29,15.75
37,7,2.5364030962,2.4,80.32,81.02,64.23,16.1
38,7,2.530068200749999,2.7,82.85,83.72,65.05,17.19
39,7,2.555094265449999,2.69,85.41,86.41,65.97,17.01
40,7,2.6136679100499993,2.66,88.02,89.07,66.89,15.329999999999998
41,7,2.589237254049999,2.3,90.61,91.37,67.79,17.19
42,7,2.638708871699999,2.41,93.25,93.78,68.57,15.920000000000002
43,7,2.662208138199999,2.9,95.91,96.68,69.38,15.66
44,7,2.6625869867999996,2.95,98.57,99.63,70.36,16.46
45,7,2.7013931862499985,2.42,101.27,102.05,71.35,15.75
46,7,2.72216958175,3.0,103.99,105.05,72.15,15.57
47,7,2.712780750750001,2.59,106.7,107.64,73.15,16.61
48,7,2.703241628799999,2.53,109.4,110.17,74.01,17.380000000000003
49,7,2.754986661999999,2.8,112.15,112.97,74.85,16.26
50,7,2.8092851764499995,2.97,114.96,115.94,75.77,14.93
51,7,2.8397325187499995,3.03,117.8,118.97,76.75,14.45
52,7,2.8788304802999987,3.02,120.68,121.99,77.74,13.55
53,7,2.8750181512,3.01,123.56,125.0,78.73,14.499999999999998
54,7,2.881522224549999,3.16,126.44,128.16,79.71,14.889999999999999
55,7,2.8923943162,2.93,129.33,131.09,80.73,15.099999999999998
56,7,2.9311630372,3.13,132.26,134.22,81.68,14.309999999999997
57,7,2.930145416199999,3.03,135.19,137.25,82.68,14.89
58,7,2.978494999299999,3.24,138.17,140.49,83.66,13.77
59,7,2.9943200375499988,3.19,141.16,143.68,84.69,13.79
60,7,3.0128992445500002,2.85,144.17,146.53,85.71,13.690000000000001
61,7,2.9902200987999987,2.69,147.16,149.22,86.61,14.819999999999999
62,7,2.9887115557999997,3.04,150.15,152.26,87.46,15.18
63,7,3.015400591699999,2.79,153.17,155.05,88.42,14.790000000000001
64,7,2.9593764203,2.92,156.13,157.97,89.29,16.44
65,7,2.9456023085499994,3.06,159.08,161.03,90.21,16.95
66,7,2.9611906067999993,2.75,162.04,163.78,91.16,16.82
67,7,2.9865553902,3.13,165.03,166.91,92.02,16.46
68,7,3.0476321850499994,3.33,168.08,170.24,92.99,15.310000000000002
69,7,2.938557483799999,2.87,171.02,173.11,94.01,17.740000000000002
70,7,3.072742852,3.34,174.09,176.45,94.9,15.16
71,7,3.115390343199999,3.18,177.21,179.63,95.92,14.380000000000003
72,7,3.1235905513,3.39,180.33,183.02,96.89,14.400000000000002
73,7,3.1042792191999986,3.32,183.43,186.34,97.92,15.039999999999997
74,7,3.1383296132000003,3.0,186.57,189.34,98.92,14.46
75,7,3.1390796666999994,3.35,189.71,192.69,99.83,14.600000000000001
76,7,3.1067204227999983,2.99,192.82,195.68,100.84,15.420000000000002
77,7,3.116601949449999,3.13,195.94,198.81,101.73,15.330000000000002
78,7,3.0676095041999996,3.01,199.01,201.82,102.67,16.340000000000003
79,7,3.0541258768,2.97,202.06,204.79,103.56,16.64
80,7,3.0489264508000002,2.89,205.11,207.68,104.44,16.78
