floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,6,1.7710931091999997,1.73,1.77,1.73,39.42
1,6,1.7936496431999998,1.81,3.56,3.54,40.12
2,6,1.7686621674999998,2.05,5.33,5.59,40.85
3,6,1.8334448771999998,2.11,7.16,7.7,41.68
4,6,1.8582095104499992,1.62,9.02,9.32,42.53
5,6,1.8254715936999997,2.08,10.85,11.4,43.18
6,6,1.8687973677999994,1.65,12.72,13.05,44.01
7,6,1.9099663274499998,1.69,14.63,14.74,44.67
8,6,1.9195755042999998,1.67,16.55,16.41,45.34
9,6,1.944946628,1.71,18.49,18.12,46.0
10,6,1.9388546541999998,1.66,20.43,19.78,46.68
11,6,1.9734799768,1.79,22.4,21.57,47.34
12,6,1.9434765827999996,1.73,24.34,23.3,48.04
13,6,2.0159052449499995,1.98,26.36,25.28,48.73
14,6,2.0344023804999996,1.79,28.39,27.07,49.5
15,6,2.0519156722999994,2.35,30.44,29.42,50.21
16,6,2.082246647199999,1.97,32.52,31.39,51.12
17,6,2.08610849505,1.8,34.61,33.19,51.89
18,6,2.0848488852999996,1.81,36.69,35.0,52.59
19,6,2.06502420455,2.23,38.76,37.23,53.29
20,6,2.1291133467999996,1.9,40.89,39.13,54.16
21,6,2.093798032549999,2.3,42.98,41.43,54.89
22,6,2.240977815199999,2.17,45.22,43.6,55.78
23,6,2.213249493549999,2.05,47.43,45.65,56.61
24,6,2.228246093799999,1.97,49.66,47.62,57.39
25,6,2.271368303799999,2.12,51.93,49.74,58.14
26,6,2.2148761795,2.22,54.14,51.96,58.95
27,6,2.28795999205,2.53,56.43,54.49,59.79
28,6,2.2690962894999993,2.15,58.7,56.64,60.75
29,6,2.2414105857999997,2.2,60.94,58.84,61.56
30,6,2.2980548060499992,2.28,63.24,61.12,62.39
31,6,2.2759776999999994,2.57,65.52,63.69,63.25
32,6,1.9702578095499987,1.74,67.49,65.43,64.21
33,6,2.0365279048,2.06,69.53,67.49,64.86
34,6,2.022386662699999,2.32,71.55,69.81,65.62
35,6,2.0755408252,2.22,73.63,72.03,66.48
36,6,2.0727738295499996,2.31,75.7,74.34,67.31
37,6,2.183772356799999,2.14,77.88,76.48,68.16
38,6,2.1807989670000008,2.0,80.06,78.48,68.95
39,6,2.1706819572000002,2.24,82.23,80.72,69.68
40,6,2.1532777329999995,2.11,84.38,82.83,70.5
41,6,2.2239588406999995,2.09,86.6,84.92,71.27
42,6,2.1927395654499997,2.48,88.79,87.4,72.03
43,6,2.2380433791999996,2.2,91.03,89.6,72.93
44,6,2.212249435199999,2.47,93.24,92.07,73.72
45,6,2.173683485049999,2.24,95.41,94.31,74.61
46,6,2.3089842966999994,2.05,97.72,96.36,75.42
47,6,2.2269094970000003,1.93,99.95,98.29,76.15
48,6,2.1587040228000003,2.29,102.11,100.58,76.84
49,6,2.2007580717999993,2.0,104.31,102.58,77.66
50,6,2.2025739322000004,1.95,106.51,104.53,78.37
51,6,2.203950565799999,2.0,108.71,106.53,79.06
52,6,2.228413115199999,2.3,110.94,108.83,79.77
53,6,2.1454217706999996,2.2,113.09,111.03,80.58
54,6,2.1938319448000003,2.21,115.28,113.24,81.36
55,6,2.150983711949999,2.02,117.43,115.26,82.13
56,6,2.2670489577999997,2.37,119.7,117.63,82.84
57,6,2.1814088916999994,2.01,121.88,119.64,83.67
58,6,2.1982882048000008,2.17,124.08,121.81,84.36
59,6,2.138601027199999,2.17,126.22,123.98,85.12
60,6,2.30625016345,2.23,128.53,126.21,85.87
61,6,2.3022314668,2.06,130.83,128.27,86.64
62,6,2.1930582942499997,2.07,133.02,130.34,87.35
63,6,2.2092498082999996,2.33,135.23,132.67,88.06
64,6,2.350660510749999,2.4,137.58,135.07,88.85
65,6,2.3999792106999993,2.5,139.98,137.57,89.67
66,6,2.1883343631999983,2.13,142.17,139.7,90.52
67,6,2.4082391738000006,2.63,144.58,142.33,91.24
68,6,2.3384287296999986,2.14,146.92,144.47,92.13
69,6,2.1750504362500003,2.34,149.1,146.81,92.85
70,6,2.284586869799999,2.27,151.38,149.08,93.64
71,6,2.327430079999999,2.04,153.71,151.12,94.4
72,6,2.2186565012,2.33,155.93,153.45,95.08
73,6,2.3583249292999997,2.62,158.29,156.07,95.86
74,6,2.1637391814499995,2.16,160.45,158.23,96.73
75,6,2.181086060799999,2.14,162.63,160.37,97.44
76,6,2.1477530174999995,2.38,164.78,162.75,98.15
77,6,2.163559921199998,2.11,166.94,164.86,98.93
78,6,2.2501331457,2.5,169.19,167.36,99.62
79,6,2.1739529668,2.02,171.36,169.38,100.44
80,6,2.265844296999999,2.1,173.63,171.48,101.1
81,6,2.235393572700001,2.05,175.87,173.53,101.78
82,6,2.394983382999999,2.53,178.26,176.06,102.45
83,6,2.32408962445,2.61,180.58,178.67,103.27
84,6,2.3141283785499986,2.08,182.89,180.75,104.11
85,6,2.2665932351999984,2.53,185.16,183.28,104.78
86,6,2.37488540055,2.67,187.53,185.95,105.59
87,6,2.0656333018,1.85,189.6,187.8,106.44
88,6,2.056260551449999,2.26,191.66,190.06,107.03
89,6,2.215595756999999,2.24,193.88,192.3,107.75
90,6,2.091742693299999,1.83,195.97,194.13,108.46
