floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,11,1.857624055727255,1.76,1.86,1.76,41.0,21.32
1,11,1.895810009215726,2.01,3.76,3.77,41.69,21.32
2,11,1.8720954498402247,1.83,5.63,5.6,42.48,22.73
3,11,1.8910349917350726,1.75,7.52,7.35,43.2,22.58
4,11,1.912484506886209,1.77,9.43,9.12,43.88,22.32
5,11,1.8892800312443858,1.85,11.32,10.97,44.57,23.39
6,11,1.8917881754700516,1.82,13.21,12.79,45.29,23.67
7,11,1.9662512313980047,1.92,15.18,14.71,45.99,21.89
8,11,1.950595391318835,1.74,17.13,16.45,46.74,22.78
9,11,1.9503689952037078,2.17,19.08,18.62,47.41,23.11
10,11,1.9609633924002483,1.99,21.04,20.61,48.25,23.21
11,11,2.066298326021365,2.24,23.11,22.85,49.01,20.37
12,11,2.0551240621495515,2.1,25.17,24.95,49.87,21.310000000000002
13,11,2.0486106872731438,1.9,27.22,26.85,50.67,21.93
14,11,1.996015493,1.97,29.22,28.82,51.4,23.67
15,11,2.0514276763,1.77,31.27,30.59,52.14,22.75
16,11,2.0988626887,2.09,33.37,32.68,52.82,21.929999999999996
17,11,2.10243793105,1.87,35.47,34.55,53.61,22.33
18,11,2.09736049455,2.35,37.57,36.9,54.31,22.85
19,11,2.1388347879999987,1.96,39.71,38.86,55.2,22.33
20,11,2.121641555949999,1.89,41.83,40.75,55.93,23.11
21,11,2.0965409247999993,1.83,43.93,42.58,56.64,23.96
22,11,2.138113871949999,2.1,46.07,44.68,57.33,23.39
23,11,2.1258716142999994,2.13,48.2,46.81,58.11,23.96
24,11,2.1831211944999995,2.47,50.38,49.28,58.9,23.11
25,11,2.1876013146999993,2.28,52.57,51.56,59.82,23.39
26,11,2.2300773042999986,2.17,54.8,53.73,60.66,22.85
27,11,2.2040704273000005,2.05,57.0,55.78,61.46,23.67
28,11,2.2727515342,2.23,59.27,58.01,62.22,22.58
29,11,2.3117896447999993,2.33,61.58,60.34,63.04,22.08
30,11,2.3695544375499997,2.35,63.95,62.69,63.89,21.15
31,11,2.343302670499999,2.12,66.29,64.81,64.75,22.08
32,11,2.1936129051999993,2.07,68.48,66.88,65.52,25.03
33,11,2.0976859237,2.2,70.58,69.08,66.27,26.64
34,11,2.2026336568000007,2.18,72.78,71.26,67.06,25.240000000000002
35,11,2.1285136982499995,2.42,74.91,73.68,67.85,26.49
36,11,2.1484750991999997,2.15,77.06,75.83,68.72,26.36
37,11,2.20614237255,2.4,79.27,78.23,69.49,25.67
38,11,2.1785062607499994,1.91,81.45,80.14,70.35,26.21
39,11,2.0556262317000003,2.17,83.51,82.31,71.03,27.92
40,11,2.1651528650499987,2.41,85.68,84.72,71.81,26.610000000000003
41,11,2.173840192299999,2.37,87.85,87.09,72.66,26.610000000000003
42,11,2.1874202769999993,1.94,90.04,89.03,73.5,26.54
43,11,2.1792873545499982,2.39,92.22,91.42,74.19,26.73
44,11,2.2224020804499998,1.94,94.44,93.36,75.03,26.27
45,11,2.2460898583000004,2.0,96.69,95.36,75.71,26.04
46,11,2.1398097530499998,2.3,98.83,97.66,76.41,27.45
47,11,2.1811426997999988,2.1,101.01,99.76,77.21,27.02
48,11,2.11650616375,2.01,103.13,101.77,77.95,27.85
49,11,2.2127130294999993,2.16,105.34,103.93,78.65,26.759999999999998
50,11,2.110976768549999,2.08,107.45,106.01,79.39,28.009999999999998
51,11,2.0779308237999996,2.01,109.53,108.02,80.11,28.42
52,11,2.28967847555,2.38,111.82,110.4,80.81,25.99
53,11,2.2445983506999996,2.33,114.06,112.73,81.63,26.6
54,11,2.3254999137000003,2.39,116.39,115.12,82.42,25.67
55,11,2.309884628799999,2.02,118.7,117.14,83.24,25.919999999999998
56,11,2.2960107404499985,2.22,121.0,119.36,83.93,26.13
57,11,2.372915656299999,2.23,123.37,121.59,84.69,25.240000000000002
58,11,2.3767547488,2.66,125.75,124.25,85.44,25.240000000000002
59,11,2.1414503127999995,2.24,127.89,126.49,86.34,27.96
60,11,2.1980835804999996,1.93,130.09,128.42,87.1,27.369999999999997
61,11,2.2021869819999993,2.32,132.29,130.74,87.75,27.339999999999996
62,11,2.061264106450001,1.94,134.35,132.68,88.53,28.810000000000002
63,11,2.1548882831999987,2.3,136.5,134.98,89.17,27.86
64,11,2.2117743192999986,2.43,138.71,137.41,89.94,27.27
65,11,2.22936850075,2.31,140.94,139.72,90.75,27.09
66,11,2.2287654511999992,2.03,143.17,141.75,91.52,27.099999999999998
67,11,2.19895936555,2.13,145.37,143.88,92.19,27.409999999999997
68,11,2.1200022863000005,2.3,147.49,146.18,92.89,28.2
69,11,2.1850829919999994,2.45,149.68,148.63,93.65,27.540000000000003
70,11,2.1253889154999994,1.92,151.81,150.55,94.45,28.12
71,11,2.0782457792,1.92,153.89,152.47,95.08,28.56
72,11,2.2165714820499995,2.48,156.11,154.95,95.71,27.19
73,11,2.3577961801999994,2.24,158.47,157.19,96.52,25.710000000000004
74,11,2.2140924427999993,2.29,160.68,159.48,97.24,27.180000000000003
75,11,2.2973597451999983,2.45,162.98,161.93,97.98,26.320000000000004
76,11,2.345765855199999,2.13,165.33,164.06,98.78,25.800000000000004
77,11,2.2905485473000002,2.42,167.62,166.48,99.46,26.35
78,11,2.418195572799999,2.14,170.04,168.62,100.24,25.0
79,11,2.442733571199999,2.74,172.48,171.36,100.92,24.72
80,11,2.3369844200000003,2.55,174.82,173.91,101.8,25.799999999999997
81,11,2.229367383549999,2.34,177.05,176.25,102.61,26.830000000000002
82,11,2.1780720204999984,2.45,179.23,178.7,103.35,27.28
83,11,2.034710642199999,2.1,181.26,180.8,104.13,28.54
84,11,2.0501677483000003,1.91,183.31,182.71,104.79,28.36
85,11,2.099466136299999,2.34,185.41,185.05,105.39,27.88
86,11,2.1438308721999997,2.36,187.55,187.41,106.12,27.43
87,11,2.1072411643,1.93,189.66,189.34,106.86,27.71
88,11,2.005416962799999,2.29,191.67,191.63,107.46,28.56
89,11,2.179760537199999,1.89,193.85,193.52,108.18,26.96
90,11,2.1663130287999994,2.07,196.02,195.59,108.76,27.040000000000003
