floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,12,1.8550424280000002,1.95,1.86,1.95,43.0,21.32
1,12,1.8781432682999994,2.12,3.74,4.07,43.79,21.32
2,12,1.8964813994999998,1.61,5.64,5.68,44.65,21.560000000000002
3,12,1.9515682704999993,1.85,7.59,7.53,45.3,20.07
4,12,1.9506102429999999,2.25,9.54,9.78,46.05,21.02
5,12,1.9044507595000002,1.8,11.44,11.58,46.95,23.24
6,12,1.9818146991999996,1.75,13.42,13.33,47.67,21.5
7,12,1.9166136056999996,2.03,15.34,15.36,48.37,23.839999999999996
8,12,2.0290447187000002,2.1,17.37,17.46,49.18,21.269999999999996
9,12,2.0336743726999997,1.87,19.4,19.33,50.02,21.81
10,12,2.0042267458,2.03,21.4,21.36,50.76,23.11
11,12,2.0095583167999997,1.81,23.41,23.17,51.56,23.44
12,12,2.1421681441999993,2.13,25.55,25.3,52.28,20.17
13,12,2.0727239231999994,2.32,27.62,27.62,53.12,22.79
14,12,2.1025773929500002,2.17,29.72,29.79,54.03,22.569999999999997
15,12,2.1430774271999997,2.27,31.86,32.06,54.88,22.039999999999996
16,12,2.1519884556999997,2.21,34.01,34.27,55.77,22.319999999999993
17,12,2.2043709427000007,2.44,36.21,36.71,56.63,21.479999999999993
18,12,2.2248029442,2.31,38.43,39.02,57.58,21.499999999999993
19,12,2.1474544334500005,2.33,40.58,41.35,58.47,23.67
20,12,2.2486547272000004,2.07,42.83,43.42,59.37,21.860000000000003
21,12,2.2275965142000005,2.43,45.06,45.85,60.17,22.7
22,12,2.2784904110500004,2.4,47.34,48.25,61.11,21.990000000000002
23,12,2.3531081011999997,2.44,49.69,50.69,62.02,20.64
24,12,2.2980732408,2.4,51.99,53.09,62.96,22.34
25,12,2.3001314556999994,2.57,54.29,55.66,63.87,22.64
26,12,2.393484662999999,2.69,56.68,58.35,64.85,21.020000000000003
27,12,2.417599333799999,2.36,59.1,60.71,65.86,20.900000000000002
28,12,2.446141167999999,2.57,61.55,63.28,66.75,20.62
29,12,2.4779645302,2.7,64.03,65.98,67.72,20.29
30,12,2.5059103761999997,2.41,66.54,68.39,68.73,20.060000000000002
31,12,2.4549022731999988,2.24,68.99,70.63,69.63,21.5
32,12,2.1689246927999988,1.93,71.16,72.56,70.46,26.36
33,12,2.2101807721999993,2.13,73.37,74.69,71.18,25.9
34,12,2.1123134346999994,2.22,75.48,76.91,71.97,27.319999999999997
35,12,2.26009551355,2.04,77.74,78.95,72.79,25.45
36,12,2.1900914433,2.09,79.93,81.04,73.54,26.509999999999998
37,12,2.2470828695499994,2.37,82.18,83.41,74.31,25.849999999999998
38,12,2.2688423887000004,1.99,84.45,85.4,75.18,25.67
39,12,2.258402604999999,2.5,86.71,87.9,75.9,25.9
40,12,2.2309470312,2.21,88.94,90.11,76.82,26.36
41,12,2.2686104272,2.43,91.21,92.54,77.62,25.96
42,12,2.1482445379999984,1.86,93.36,94.4,78.5,27.520000000000003
43,12,2.330064948699999,2.58,95.69,96.98,79.17,25.32
44,12,2.2147185174999993,2.33,97.9,99.31,80.1,26.85
45,12,2.326249043799999,2.42,100.23,101.73,80.94,25.54
46,12,2.231200342999998,2.39,102.46,104.12,81.8,26.770000000000003
47,12,2.2500922367999996,2.17,104.71,106.29,82.66,26.6
48,12,2.2666219109499997,2.5,106.98,108.79,83.43,26.450000000000003
49,12,2.2707289272,2.04,109.25,110.83,84.32,26.45
50,12,2.1716076447999995,1.93,111.42,112.76,85.04,27.599999999999998
51,12,2.258941460199999,2.28,113.68,115.04,85.72,26.650000000000002
52,12,2.2104395331999998,2.48,115.89,117.52,86.52,27.22
53,12,2.2985936697999994,2.45,118.19,119.97,87.39,26.26
54,12,2.332505075,2.08,120.52,122.05,88.25,25.9
55,12,2.1518534226999995,2.44,122.67,124.49,88.98,27.89
56,12,2.2322930196999997,1.97,124.9,126.46,89.82,27.05
57,12,2.31021264955,2.46,127.21,128.92,90.51,26.209999999999997
58,12,2.1807097088000003,2.26,129.39,131.18,91.36,27.599999999999998
59,12,2.4169122463000003,2.58,131.81,133.76,92.14,25.03
60,12,2.3070111704499996,2.29,134.12,136.05,93.03,26.27
61,12,2.2319257287999994,2.08,136.35,138.13,93.81,27.060000000000002
62,12,2.2027214861999993,2.0,138.55,140.13,94.52,27.35
63,12,2.2921651679999986,2.14,140.84,142.27,95.2,26.42
64,12,2.2388860197,2.43,143.08,144.7,95.93,26.96
65,12,2.3245765308,2.47,145.4,147.17,96.76,26.06
66,12,2.30883045655,2.22,147.71,149.39,97.59,26.21
67,12,2.2531281327999992,2.25,149.96,151.64,98.34,26.76
68,12,2.318979915499998,2.29,152.28,153.93,99.1,26.070000000000004
69,12,2.1259311697999994,2.22,154.41,156.15,99.86,27.94
70,12,2.2495381112999993,2.42,156.66,158.57,100.61,26.72
71,12,2.1181663827999997,2.24,158.78,160.81,101.41,27.94
72,12,2.276611942799999,2.2,161.06,163.01,102.16,26.390000000000004
73,12,2.0634142822999992,1.8,163.12,164.81,102.89,28.36
74,12,2.152672446199999,2.45,165.27,167.26,103.48,27.51
75,12,2.1916964397999985,2.48,167.46,169.74,104.29,27.1
76,12,2.0949052869999987,2.15,169.55,171.89,105.1,27.94
77,12,2.08630339705,1.99,171.64,173.88,105.81,27.97
78,12,2.1555971997999994,2.14,173.8,176.02,106.46,27.299999999999997
79,12,2.1831692967999983,1.89,175.98,177.91,107.16,27.0
80,12,2.280285922449999,2.17,178.26,180.08,107.77,26.049999999999997
81,12,2.20039521645,2.18,180.46,182.26,108.47,26.75
82,12,2.1506176246999997,2.01,182.61,184.27,109.18,27.15
83,12,2.1594689931999986,2.09,184.77,186.36,109.83,27.02
84,12,2.1835310624999993,2.01,186.95,188.37,110.5,26.75
85,12,2.1743645979999995,2.17,189.12,190.54,111.15,26.779999999999998
86,12,2.071164296799999,2.25,191.19,192.79,111.84,27.63
87,12,2.0937626307999984,2.32,193.28,195.11,112.56,27.369999999999997
88,12,2.2261649155000005,2.03,195.51,197.14,113.3,26.129999999999995
89,12,2.1286277637999995,2.0,197.64,199.14,113.94,26.939999999999998
90,12,2.0032289009500004,2.27,199.64,201.41,114.57,27.949999999999996
