floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,3,1.7599163237612043,1.65,1.76,1.65,39.2
1,3,1.7812322672007508,2.03,3.54,3.68,39.89
2,3,1.8072919736084332,1.94,5.35,5.62,40.74
3,3,1.832019066791849,1.59,7.18,7.21,41.55
4,3,1.851992478017723,2.13,9.03,9.34,42.21
5,3,1.8788698902387426,2.15,10.91,11.49,43.1
6,3,1.9055082154551761,1.85,12.82,13.34,43.99
7,3,1.9282350580776453,2.19,14.75,15.53,44.75
8,3,1.95489201530441,1.76,16.7,17.29,45.65
9,3,1.976429648572887,1.68,18.68,18.97,46.38
10,3,1.9963718376216468,1.87,20.68,20.84,47.06
11,3,2.018735126736716,1.89,22.7,22.73,47.83
12,3,2.041099632412138,1.84,24.74,24.57,48.6
13,3,2.06285349243681,2.2,26.8,26.77,49.35
14,3,2.088485768041618,1.81,28.89,28.58,50.24
15,3,2.109526044121613,2.35,31.0,30.93,50.98
16,3,2.1362395207918805,2.37,33.14,33.3,51.92
17,3,2.163552532815596,2.06,35.3,35.36,52.88
18,3,2.1869338085044485,2.24,37.49,37.6,53.71
19,3,2.211599293071499,1.95,39.7,39.55,54.6
20,3,2.2334809963943356,2.44,41.93,41.99,55.38
21,3,2.2604655789531165,2.15,44.19,44.14,56.35
22,3,2.2842624389981805,2.54,46.47,46.68,57.21
23,3,2.3113464560534407,2.61,48.78,49.29,58.21
24,3,2.3394938634974527,2.5,51.12,51.79,59.24
25,3,2.3665338527232493,2.53,53.49,54.32,60.23
26,3,2.3934022186306376,2.11,55.88,56.43,61.22
27,3,2.4154862471552567,2.58,58.3,59.01,62.04
28,3,2.4421713616760874,2.33,60.74,61.34,63.05
29,3,2.4665822043888253,2.42,63.21,63.76,63.95
30,3,2.490780536450706,2.72,65.7,66.48,64.89
31,3,2.5192301169500295,2.35,68.22,68.83,65.94
32,3,2.5429988811693045,2.73,70.76,71.56,66.84
33,3,2.570427528053663,2.44,73.33,74.0,67.89
34,3,2.5946314294632584,2.44,75.92,76.44,68.82
35,3,2.618723592081922,2.62,78.54,79.06,69.75
36,3,2.644052888529124,2.78,81.18,81.84,70.75
37,3,2.6717167612189225,2.45,83.85,84.29,71.8
38,3,2.6939562441963836,2.47,86.54,86.76,72.73
39,3,2.7186228670650285,2.72,89.26,89.48,73.65
40,3,2.744653990518279,2.63,92.0,92.11,74.67
41,3,2.7698285616921274,2.54,94.77,94.65,75.66
42,3,2.791704352822107,2.49,97.56,97.14,76.6
43,3,2.815571595268149,2.89,100.38,100.03,77.53
44,3,2.840994197866163,2.91,103.22,102.94,78.59
45,3,2.869865400613154,2.63,106.09,105.57,79.67
46,3,2.8928840962990243,2.66,108.98,108.23,80.63
47,3,2.915427163488586,2.66,111.9,110.89,81.61
48,3,2.939522720438458,3.24,114.84,114.13,82.58
49,3,2.9695073440772553,3.26,117.81,117.39,83.75
50,3,2.99971684668426,3.05,120.81,120.44,84.93
51,3,3.025482465717432,2.81,123.84,123.25,86.03
52,3,3.0497948649591633,3.0,126.89,126.25,87.04
53,3,3.075945599297358,3.05,129.97,129.3,88.11
54,3,3.101705417298726,3.35,133.07,132.65,89.2
55,3,3.130566786670263,3.15,136.2,135.8,90.39
56,3,3.154779035099212,2.86,139.35,138.66,91.5
57,3,3.17743952479316,3.21,142.53,141.87,92.51
58,3,3.2078466475369414,3.31,145.74,145.18,93.63
59,3,3.2330645663815654,3.35,148.97,148.53,94.79
60,3,3.2586666599098004,3.35,152.23,151.88,95.95
61,3,3.288255127775972,3.25,155.52,155.13,97.11
62,3,3.3048344637570835,3.38,158.82,158.51,98.23
63,3,3.342371915764343,3.31,162.16,161.82,99.39
64,3,3.3678374417483687,3.66,165.53,165.48,100.52
65,3,3.3928908954435033,3.21,168.92,168.69,101.77
66,3,3.413363072371498,3.36,172.33,172.05,102.85
67,3,3.4429253254394747,3.32,175.77,175.37,103.99
68,3,3.4698547495510725,3.7,179.24,179.07,105.1
69,3,3.501553136301424,3.78,182.74,182.85,106.34
70,3,3.5142996289313193,3.74,186.25,186.59,107.6
71,3,3.5538103938505126,3.5,189.8,190.09,108.84
72,3,3.5817969651014763,3.58,193.38,193.67,109.99
73,3,3.6051936266262294,3.38,196.99,197.05,111.16
74,3,3.6239321321363156,3.85,200.61,200.9,112.27
75,3,3.660922314730417,3.7,204.27,204.6,113.52
76,3,3.6887176625087075,3.79,207.96,208.39,114.72
77,3,3.7112636467071667,3.74,211.67,212.13,115.94
78,3,3.724778781020269,3.63,215.39,215.76,117.14
79,3,3.7631685424743693,3.84,219.15,219.6,118.29
80,3,3.7900244645872245,3.83,222.94,223.43,119.51
81,3,3.803670815337387,3.65,226.74,227.08,120.72
82,3,3.83028302051222,4.07,230.57,231.15,121.87
83,3,3.8670392990079385,3.92,234.44,235.07,123.14
84,3,3.8873783748120485,3.94,238.33,239.01,124.36
85,3,3.9255211422644596,4.11,242.26,243.12,125.58
86,3,3.94973899353976,4.19,246.21,247.31,126.85
87,3,3.956833370883741,4.01,250.17,251.32,128.13
88,3,4.002247733452586,3.77,254.17,255.09,129.36
89,3,4.015723042294635,3.77,258.19,258.86,130.5
90,3,4.0292235474044595,4.18,262.22,263.04,131.64
