floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,15,1.722405234900003,1.67,1.72,1.67,38.0,15.59
1,15,1.743161184264216,1.61,3.46,3.28,38.66,15.59
2,15,1.7630194494701297,1.58,5.22,4.86,39.3,15.95
3,15,1.7821663689961933,1.49,7.0,6.35,39.92,15.529999999999998
4,15,1.7964235566865778,2.07,8.8,8.42,40.51,15.7
5,15,1.8132640939659785,1.83,10.61,10.25,41.33,16.25
6,15,1.8277621848662766,1.59,12.44,11.84,42.04,16.79
7,15,1.8405599813992508,1.93,14.28,13.77,42.67,17.35
8,15,1.8555809915115113,1.78,16.14,15.55,43.42,16.07
9,15,1.8694449857497726,2.12,18.01,17.67,44.11,16.43
10,15,1.8858642315232486,2.11,19.9,19.78,44.94,14.91
11,15,1.9022116018253443,2.03,21.8,21.81,45.76,15.89
12,15,1.9176203459115106,1.63,23.72,23.44,46.54,16.23
13,15,1.929951771655937,2.05,25.65,25.49,47.17,15.82
14,15,1.9454524643085618,2.09,27.6,27.58,47.96,16.79
15,15,1.9609752702322767,2.03,29.56,29.61,48.76,16.43
16,15,1.9760302139320207,2.14,31.54,31.75,49.54,16.07
17,15,1.9918298130742271,2.16,33.53,33.91,50.36,16.46
18,15,2.009689207808658,1.93,35.54,35.84,51.18,14.89
19,15,2.029418547651114,1.88,37.57,37.72,51.91,15.34
20,15,2.048772038149623,2.02,39.62,39.74,52.63,16.31
21,15,2.0690949054253203,1.86,41.69,41.6,53.39,16.97
22,15,2.087849414420777,1.89,43.78,43.49,54.09,15.149999999999999
23,15,2.106640611734361,1.81,45.89,45.3,54.8,16.92
24,15,2.124550487726815,2.35,48.01,47.65,55.48,17.54
25,15,2.147884170187566,2.33,50.16,49.98,56.36,16.189999999999998
26,15,2.170749466398316,1.97,52.33,51.95,57.23,14.59
27,15,2.1900676651427515,2.08,54.52,54.03,57.97,15.17
28,15,2.209928418938638,2.31,56.73,56.34,58.74,17.27
29,15,2.2321274546420753,2.38,58.96,58.72,59.59,14.399999999999999
30,15,2.2547997624373535,2.51,61.21,61.23,60.47,15.34
31,15,2.278608480879549,2.5,63.49,63.73,61.4,16.34
32,15,2.301843504244867,2.2,65.79,65.93,62.31,16.410000000000004
33,15,2.3225235948482212,2.14,68.11,68.07,63.12,15.230000000000004
34,15,2.3422224740550623,2.23,70.45,70.3,63.9,16.220000000000002
35,15,2.362689588375059,2.43,72.81,72.73,64.71,15.940000000000003
36,15,2.384828461224825,2.67,75.19,75.4,65.59,15.680000000000007
37,15,2.409143199671294,2.34,77.6,77.74,66.56,14.920000000000002
38,15,2.430026472752313,2.25,80.03,79.99,67.4,15.810000000000002
39,15,2.450048108981807,2.18,82.48,82.17,68.21,16.46
40,15,2.4693945394686247,2.3,84.95,84.47,68.99,16.1
41,15,2.489625718272905,2.2,87.44,86.67,69.81,15.920000000000002
42,15,2.5089729615077148,2.51,89.95,89.18,70.6,16.27
43,15,2.530630507677434,2.53,92.48,91.71,71.49,16.739999999999995
44,15,2.552612750625025,2.5,95.03,94.21,72.38,13.989999999999998
45,15,2.574240899612349,2.51,97.6,96.72,73.27,13.100000000000001
46,15,2.595526319288894,2.33,100.2,99.05,74.15,13.690000000000001
47,15,2.6152158665796255,2.73,102.82,101.78,74.97,15.38
48,15,2.638005720354019,2.56,105.46,104.34,75.92,15.600000000000001
49,15,2.6593755823766494,2.96,108.12,107.3,76.82,16.37
50,15,2.6837887233800752,2.73,110.8,110.03,77.84,15.920000000000002
51,15,2.706179482758165,2.75,113.51,112.78,78.79,16.46
52,15,2.7280259651037126,3.0,116.24,115.78,79.74,17.39
53,15,2.7529163506691035,2.86,118.99,118.64,80.77,16.37
54,15,2.7761713057165522,3.02,121.77,121.66,81.75,15.290000000000001
55,15,2.8003742303320407,2.73,124.57,124.39,82.78,13.560000000000002
56,15,2.8218002612744417,2.7,127.39,127.09,83.7,13.88
57,15,2.8431811997500986,2.8,130.23,129.89,84.62,13.3
58,15,2.864906794965865,2.58,133.09,132.47,85.56,14.080000000000002
59,15,2.8847321415443106,2.87,135.97,135.34,86.43,15.759999999999998
60,15,2.907011810811784,3.02,138.88,138.36,87.39,14.510000000000002
61,15,2.930060895253408,2.97,141.81,141.33,88.4,15.160000000000002
62,15,2.9527763353938874,2.71,144.76,144.04,89.39,14.16
63,15,2.9729913737217153,3.01,147.73,147.05,90.29,15.670000000000002
64,15,2.995210325565277,2.73,150.73,149.78,91.28,16.15
65,15,3.015474538889017,3.24,153.75,153.02,92.18,16.240000000000006
66,15,3.0399709206933743,3.32,156.79,156.34,93.24,13.68
67,15,3.0641578778659775,2.93,159.85,159.27,94.33,15.470000000000004
68,15,3.0853264967134355,3.0,162.94,162.27,95.28,15.66
69,15,3.1072114775016977,3.11,166.05,165.38,96.25,14.8
70,15,3.129455697479519,3.18,169.18,168.56,97.25,14.73
71,15,3.1523255579215768,3.05,172.33,171.61,98.28,14.470000000000002
72,15,3.1736706551027467,3.37,175.5,174.98,99.25,14.880000000000003
73,15,3.1964488670187228,3.29,178.7,178.27,100.33,16.46
74,15,3.2204133557235566,3.43,181.92,181.7,101.37,14.130000000000003
75,15,3.2436345478037065,3.12,185.16,184.82,102.46,15.850000000000005
76,15,3.264173497038045,3.17,188.42,187.99,103.44,16.550000000000004
77,15,3.2858185153867354,3.34,191.71,191.33,104.43,16.43
78,15,3.3044070361719924,3.1,195.01,194.43,105.48,17.740000000000002
79,15,3.329147805321947,3.51,198.34,197.94,106.44,16.46
