floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight
0,14,1.6439009295802498,1.87,1.64,1.87,35.54
1,14,1.5278479515453642,1.23,3.17,3.1,36.26
2,14,1.549059882492982,1.62,4.72,4.72,36.74
3,14,1.5617711129321772,1.63,6.28,6.35,37.36
4,14,1.590345688402744,1.54,7.87,7.89,37.99
5,14,1.6168092942798187,1.76,9.49,9.65,38.58
6,14,1.633936744944858,1.86,11.12,11.51,39.25
7,14,1.670170396342411,1.45,12.79,12.96,39.97
8,14,1.6782574097647787,1.5,14.47,14.46,40.52
9,14,1.730257029165256,1.59,16.2,16.05,41.09
10,14,1.7034098501561852,1.56,17.9,17.61,41.69
11,14,1.78607872142034,1.93,19.69,19.54,42.29
12,14,1.732206134314155,1.97,21.42,21.51,43.02
13,14,1.7635983226630236,1.58,23.18,23.09,43.76
14,14,1.720868703104575,1.46,24.9,24.55,44.36
15,14,1.7104727033583258,1.97,26.61,26.52,44.9
16,14,1.7331684904526972,1.58,28.34,28.1,45.64
17,14,1.728003920019267,1.58,30.07,29.68,46.24
18,14,1.7977342000933163,1.87,31.87,31.55,46.83
19,14,1.7238343534057443,2.01,33.59,33.56,47.52
20,14,1.8048529586786177,1.99,35.39,35.55,48.27
21,14,1.7627967404656288,1.51,37.15,37.06,49.01
22,14,1.7439370087835915,1.83,38.89,38.89,49.57
23,14,1.8078025909159827,2.06,40.7,40.95,50.25
24,14,1.8218866649360095,1.71,42.52,42.66,51.01
25,14,1.80643738343103,1.55,44.33,44.21,51.63
26,14,1.800438040871676,1.5,46.13,45.71,52.2
27,14,1.8300867562795762,2.09,47.96,47.8,52.75
28,14,1.795108271402647,1.98,49.76,49.78,53.52
29,14,1.8591410369972006,2.12,51.62,51.9,54.24
30,14,1.9108595347084858,1.96,53.53,53.86,55.01
31,14,1.8471250505212202,2.13,55.38,55.99,55.72
32,14,1.862711173953382,2.08,57.24,58.07,56.5
33,14,1.9172745313160182,1.83,59.16,59.9,57.25
34,14,1.939265856939574,1.91,61.1,61.81,57.91
35,14,1.9730427047532546,2.02,63.07,63.83,58.59
36,14,1.9457751661744156,1.99,65.02,65.82,59.32
37,14,1.9502013485445282,1.81,66.97,67.63,60.03
38,14,1.9457775233270431,2.05,68.92,69.68,60.68
39,14,2.0045387098731475,2.3,70.92,71.98,61.41
40,14,2.0288437468208556,2.06,72.95,74.04,62.22
41,14,1.990412297637595,2.0,74.94,76.04,62.95
42,14,2.0455804766230896,2.32,76.99,78.36,63.66
43,14,2.0603678884285563,1.94,79.05,80.3,64.48
44,14,2.028027681777467,2.2,81.08,82.5,65.16
45,14,2.1569616429706464,2.09,83.24,84.59,65.93
46,14,2.129610164232026,2.13,85.37,86.72,66.66
47,14,2.0679782255616685,2.27,87.44,88.99,67.4
48,14,2.0928253074650245,2.04,89.53,91.03,68.19
49,14,2.104987952813303,2.09,91.63,93.12,68.9
50,14,2.2117472687119317,2.42,93.84,95.54,69.62
51,14,2.1810883497662066,2.46,96.02,98.0,70.46
52,14,2.15882292266504,2.07,98.18,100.07,71.31
53,14,2.1577425861482737,2.15,100.34,102.22,72.02
54,14,2.1699278721022295,2.03,102.51,104.25,72.75
55,14,2.2551150768514736,2.55,104.77,106.8,73.45
56,14,2.219828106414234,2.49,106.99,109.29,74.31
57,14,2.3342738692502705,2.11,109.32,111.4,75.16
58,14,2.304041530220486,2.35,111.62,113.75,75.87
59,14,2.2698907035590894,2.12,113.89,115.87,76.67
60,14,2.2939895523514946,2.08,116.18,117.95,77.38
61,14,2.223303268387065,2.34,118.4,120.29,78.08
62,14,2.3372381665344406,2.14,120.74,122.43,78.86
63,14,2.3729850477389736,2.27,123.11,124.7,79.58
64,14,2.348867222477205,2.39,125.46,127.09,80.33
65,14,2.4037993261626904,2.64,127.86,129.73,81.13
66,14,2.3145505607211505,2.45,130.17,132.18,82.0
67,14,2.29985815596395,2.29,132.47,134.47,82.81
68,14,2.407902495100023,2.15,134.88,136.62,83.57
69,14,2.430088448955542,2.24,137.31,138.86,84.27
70,14,2.4249844354701513,2.16,139.73,141.02,85.0
71,14,2.424478024153926,2.61,142.15,143.63,85.71
72,14,2.4059309161380145,2.13,144.56,145.76,86.56
73,14,2.4359797027968346,2.49,147.0,148.25,87.25
74,14,2.555948074074016,2.27,149.56,150.52,88.06
75,14,2.446969193142035,2.71,152.01,153.23,88.79
76,14,2.5903083083095697,2.34,154.6,155.57,89.66
77,14,2.5336384740400613,2.52,157.13,158.09,90.41
78,14,2.490867058198321,2.63,159.62,160.72,91.22
79,14,2.4679408452419214,2.42,162.09,163.14,92.06
80,14,2.539340044616904,2.6,164.63,165.74,92.83
81,14,2.5596340479965134,2.55,167.19,168.29,93.65
82,14,2.6373755587805148,2.71,169.83,171.0,94.46
83,14,2.5300317168350936,2.4,172.36,173.4,95.31
84,14,2.4963471140302955,2.51,174.86,175.91,96.06
85,14,2.5381247159669305,2.34,177.4,178.25,96.85
86,14,2.5777081891488933,2.33,179.98,180.58,97.58
87,14,2.598906101011449,2.52,182.58,183.1,98.31
88,14,2.6551407724118006,2.75,185.24,185.85,99.09
89,14,2.6612256518947133,2.95,187.9,188.8,99.94
90,14,2.635060341343989,2.6,190.54,191.4,100.85
