floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,15,1.8771261166713706,1.83,1.88,1.83,39.92,18.79
1,15,1.9171584105992703,1.98,3.8,3.81,40.6,18.79
2,15,1.9470834195581725,2.05,5.75,5.86,41.34,17.41
3,15,1.9439569757120285,1.7,7.69,7.56,42.1,19.380000000000003
4,15,1.9276864434443532,2.0,9.62,9.56,42.73,20.91
5,15,1.961981062339559,1.73,11.58,11.29,43.47,20.060000000000002
6,15,1.9605325751684555,2.04,13.54,13.33,44.1,20.73
7,15,1.9965532655425953,1.73,15.54,15.06,44.85,19.800000000000004
8,15,2.0119824609442283,1.95,17.55,17.01,45.49,19.7
9,15,2.0347826766881627,2.22,19.58,19.23,46.2,19.29
10,15,2.043838032131887,2.14,21.62,21.37,47.01,19.669999999999998
11,15,2.0831953343970024,2.09,23.7,23.46,47.79,18.419999999999998
12,15,2.084324967721076,1.92,25.78,25.38,48.55,19.209999999999997
13,15,2.0633527479532954,1.87,27.84,27.25,49.24,20.64
14,15,2.086666911245107,2.2,29.93,29.45,49.92,20.24
15,15,2.06043789385854,1.79,31.99,31.24,50.71,21.599999999999998
16,15,2.0340114687999993,2.13,34.02,33.37,51.36,22.72
17,15,2.0716893922,1.87,36.09,35.24,52.12,22.21
18,15,2.0873664707999993,2.23,38.18,37.47,52.79,22.22
19,15,2.08924595555,1.87,40.27,39.34,53.59,22.65
20,15,2.1182600432999994,1.98,42.39,41.32,54.26,22.310000000000002
21,15,2.118626030799999,1.93,44.51,43.25,54.96,22.69
22,15,2.1535602097999997,2.43,46.66,45.68,55.64,22.21
23,15,2.1726323394999993,1.96,48.83,47.64,56.5,22.21
24,15,2.14662627,2.38,50.98,50.02,57.2,23.150000000000002
25,15,2.1779800566999996,2.1,53.16,52.12,58.03,22.840000000000003
26,15,2.1856936386999988,2.3,55.35,54.42,58.77,23.000000000000007
27,15,2.2496261781999998,2.41,57.6,56.83,59.58,21.940000000000005
28,15,2.2887933862,2.44,59.89,59.27,60.42,21.42
29,15,2.231032184449999,2.44,62.12,61.71,61.27,23.070000000000004
30,15,2.3488676431999993,2.24,64.47,63.95,62.12,20.800000000000004
31,15,2.3199354292999987,2.12,66.79,66.07,62.89,21.840000000000003
32,15,2.3287053657000003,2.36,69.12,68.43,63.62,21.950000000000003
33,15,2.3704088818,2.32,71.49,70.75,64.44,21.37
34,15,2.3401402877,2.13,73.83,72.88,65.23,22.32
35,15,2.295991904799999,2.25,76.13,75.13,65.96,23.400000000000002
36,15,2.3308183889499996,2.41,78.46,77.54,66.73,22.99
37,15,2.3978108394999995,2.62,80.86,80.16,67.55,21.96
38,15,2.4628249768,2.74,83.32,82.9,68.44,20.92
39,15,2.4874550634499992,2.77,85.81,85.67,69.37,20.730000000000004
40,15,2.4970357687999996,2.48,88.31,88.15,70.31,20.860000000000003
41,15,2.464717272299999,2.27,90.77,90.42,71.14,21.770000000000003
42,15,2.4760729604999994,2.47,93.25,92.89,71.9,21.770000000000003
43,15,2.5195838164499995,2.31,95.77,95.2,72.73,21.170000000000005
44,15,2.5751230479999996,2.86,98.35,98.06,73.5,20.28
45,15,2.556943064249998,2.62,100.91,100.68,74.45,20.930000000000007
46,15,2.6219969941999994,2.67,103.53,103.35,75.32,19.870000000000005
47,15,2.5963243119999997,2.45,106.13,105.8,76.2,20.64
48,15,2.650656278799999,2.56,108.78,108.36,77.01,19.780000000000005
49,15,2.5259606619999992,2.42,111.31,110.78,77.85,22.26
50,15,2.6531360742499994,2.73,113.96,113.51,78.65,20.17
51,15,2.6054857927999993,2.82,116.57,116.33,79.54,21.240000000000006
52,15,2.593927855299999,2.32,119.16,118.65,80.46,21.61
53,15,2.598751337799998,2.68,121.76,121.33,81.21,21.660000000000004
54,15,2.496011699199999,2.22,124.26,123.55,82.08,23.36
55,15,2.5094554085500005,2.53,126.77,126.08,82.79,23.25
56,15,2.609231756799999,2.72,129.38,128.8,83.61,21.86
57,15,2.6798740912,2.88,132.06,131.68,84.48,20.849999999999998
58,15,2.6308875919999988,2.62,134.69,134.3,85.4,21.759999999999998
59,15,2.5770488728,2.41,137.27,136.71,86.24,22.65
60,15,2.5542309519999997,2.58,139.82,139.29,87.0,23.04
61,15,2.6133987912,2.32,142.43,141.61,87.82,22.279999999999998
62,15,2.6052212519999993,2.86,145.04,144.47,88.55,22.46
63,15,2.5987589529999986,2.3,147.64,146.77,89.45,22.619999999999997
64,15,2.5477230396999992,2.42,150.19,149.19,90.18,23.349999999999998
65,15,2.617878782199999,2.86,152.81,152.05,90.93,22.46
66,15,2.6009969781999995,2.41,155.41,154.46,91.83,22.739999999999995
67,15,2.6989568931999988,2.5,158.11,156.96,92.58,21.439999999999998
68,15,2.8024198295000002,2.92,160.91,159.88,93.35,19.96
69,15,2.7757409794999983,2.72,163.69,162.6,94.25,20.44
70,15,2.6402021890499987,2.79,166.33,165.39,95.09,22.37
71,15,2.59990122825,2.81,168.93,168.2,95.95,22.91
72,15,2.6347926230499987,2.83,171.56,171.03,96.81,22.490000000000002
73,15,2.641728551199999,2.91,174.2,173.94,97.68,22.42
74,15,2.7000084367999992,2.93,176.9,176.87,98.56,21.690000000000005
75,15,2.728135957,2.52,179.63,179.39,99.45,21.34
76,15,2.666418735799999,2.5,182.3,181.89,100.21,22.14
77,15,2.7329740447999993,2.81,185.03,184.7,100.96,21.299999999999997
78,15,2.674628664299999,2.72,187.7,187.42,101.81,22.04
79,15,2.6848689347,2.51,190.38,189.93,102.62,21.909999999999997
80,15,2.6727871244500006,2.66,193.05,192.59,103.37,22.049999999999997
81,15,2.7871791448,2.82,195.84,195.41,104.16,20.61
82,15,2.691325299999999,2.65,198.53,198.06,105.0,21.8
83,15,2.7360785991999985,2.6,201.27,200.66,105.78,21.240000000000002
84,15,2.5646497207499994,2.59,203.83,203.25,106.55,23.21
85,15,2.569943053299999,2.36,206.4,205.61,107.31,23.12
86,15,2.6859424479999987,2.68,209.09,208.29,108.0,21.780000000000005
87,15,2.6651510766999986,2.68,211.76,210.97,108.78,21.990000000000006
88,15,2.6319590817999994,2.75,214.39,213.72,109.56,22.33
