floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,19,1.8125788337704827,1.56,1.81,1.56,38.95,21.32
1,19,1.6914467747130661,1.82,3.5,3.38,39.58,25.82897204779383
2,19,1.751009723761502,1.86,5.25,5.24,40.32,24.908972047793828
3,19,1.683087322995832,1.43,6.93,6.67,41.07,26.71
4,19,1.753883077966732,1.77,8.68,8.44,41.64,25.42
5,19,1.6938510020291297,1.6,10.37,10.04,42.35,26.93
6,19,1.7510382723971327,2.01,12.12,12.05,42.99,26.0
7,19,1.7979571183394105,1.85,13.92,13.9,43.8,25.290000000000003
8,19,1.746416091450364,1.89,15.67,15.79,44.54,26.61
9,19,1.7702507714506748,1.68,17.44,17.47,45.29,26.38
10,19,1.789372039540767,2.03,19.23,19.5,45.95,26.21
11,19,1.822178167207567,1.96,21.05,21.46,46.76,25.81
12,19,1.8209517246418145,2.07,22.87,23.53,47.53,26.069999999999997
13,19,1.7813575165612445,2.04,24.65,25.57,48.35,27.03
14,19,1.7002595417597979,1.94,26.35,27.51,49.15,28.56
15,19,1.8193981039959852,1.82,28.17,29.33,49.91,26.740000000000002
16,19,1.8594015842556582,2.0,30.03,31.33,50.62,26.19
17,19,1.8499429799999996,1.84,31.88,33.17,51.4,26.6
18,19,1.8460582552,1.87,33.73,35.04,52.12,26.92
19,19,1.7530339929999992,1.76,35.48,36.8,52.85,28.62
20,19,1.7328402904500002,1.49,37.21,38.29,53.53,29.09
21,19,1.8066683424999987,1.93,39.02,40.22,54.1,28.150000000000006
22,19,1.8030497924999995,2.07,40.82,42.29,54.85,28.400000000000002
23,19,1.8613959937999995,1.94,42.68,44.23,55.64,27.730000000000004
24,19,1.8670041192999998,2.07,44.55,46.3,56.39,27.840000000000003
25,19,1.9478662971999992,1.99,46.5,48.29,57.18,26.8
26,19,1.9915065592999994,1.78,48.49,50.07,57.94,26.310000000000002
27,19,1.9406449957,1.98,50.43,52.05,58.62,27.290000000000003
28,19,1.9849761756999995,2.1,52.41,54.15,59.37,26.8
29,19,1.9847779867000004,2.18,54.39,56.33,60.17,27.0
30,19,2.036335572549999,2.06,56.43,58.39,60.99,26.409999999999997
31,19,2.0394824399499996,2.11,58.47,60.5,61.77,26.549999999999997
32,19,2.0828655607999993,2.16,60.55,62.66,62.56,26.070000000000004
33,19,2.0439074307,2.0,62.59,64.66,63.37,26.84
34,19,2.1207455681999994,2.13,64.71,66.79,64.12,25.85
35,19,2.049305913049999,1.92,66.76,68.71,64.91,27.070000000000004
36,19,2.155153713199999,2.19,68.92,70.9,65.63,25.66
37,19,2.1540191357999996,1.9,71.07,72.8,66.44,25.85
38,19,2.0640825597999997,2.14,73.13,74.94,67.14,27.259999999999998
39,19,2.0419648308,2.32,75.17,77.26,67.94,27.68
40,19,2.1350085433000006,2.1,77.31,79.36,68.79,26.560000000000002
41,19,2.152773096799999,2.34,79.46,81.7,69.56,26.439999999999998
42,19,2.145004103199999,2.37,81.61,84.07,70.42,26.68
43,19,2.2310973591999987,2.11,83.84,86.18,71.28,25.62
44,19,2.1012692467499994,1.84,85.94,88.02,72.05,27.47
45,19,2.1429698871999996,2.15,88.08,90.17,72.72,27.02
46,19,2.204075278,2.27,90.28,92.44,73.5,26.32
47,19,2.092119541199999,2.32,92.37,94.76,74.32,27.830000000000005
48,19,2.2559540844999986,2.27,94.63,97.03,75.15,25.840000000000003
49,19,2.15293179145,1.88,96.78,98.91,75.97,27.25
