floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,1,1.6732874073452297,1.57,1.67,1.57,39.25,18.79
1,1,1.691179977948489,1.49,3.36,3.06,39.86,18.79
2,1,1.7078078408454043,1.5,5.07,4.56,40.43,18.89
3,1,1.7246180303526235,1.67,6.79,6.23,41.01,19.150000000000002
4,1,1.743179639707086,1.87,8.53,8.1,41.65,18.9
5,1,1.7633911607636246,1.8,10.29,9.9,42.36,19.68
6,1,1.782967840844365,1.87,12.07,11.77,43.05,19.990000000000002
7,1,1.8033025132545626,1.52,13.87,13.29,43.76,19.75
8,1,1.8202178088812955,2.08,15.69,15.37,44.34,17.7
9,1,1.8425121895888827,2.1,17.53,17.47,45.13,17.88
10,1,1.8649461854404417,1.99,19.39,19.46,45.93,18.16
11,1,1.8858852649206557,1.69,21.28,21.15,46.68,18.23
12,1,1.9030359780505615,1.86,23.18,23.01,47.31,19.38
13,1,1.9209806400160727,1.84,25.1,24.85,48.01,20.63
14,1,1.9398432518238484,2.02,27.04,26.87,48.7,20.639999999999997
15,1,1.9602224304085434,2.07,29.0,28.94,49.46,20.77
16,1,1.9799493495574187,1.82,30.98,30.76,50.23,21.11
17,1,1.9966299959370328,1.73,32.98,32.49,50.91,21.44
18,1,2.0093920298299226,2.12,34.99,34.61,51.55,22.010000000000005
19,1,2.0298554858560163,1.73,37.02,36.34,52.34,22.020000000000007
20,1,2.0414861348249453,1.87,39.06,38.21,52.98,22.420000000000005
21,1,2.0660155683728507,2.19,41.13,40.4,53.67,21.840000000000003
22,1,2.0753763114208006,1.88,43.21,42.28,54.47,22.64
23,1,2.109026302395453,1.98,45.32,44.26,55.17,21.320000000000004
24,1,2.131027809509341,2.16,47.45,46.42,55.89,20.720000000000006
25,1,2.1364411829204077,2.39,49.59,48.81,56.68,22.28
26,1,2.154143048060181,1.87,51.74,50.68,57.55,22.480000000000004
27,1,2.184062782322807,2.33,53.92,53.01,58.23,21.630000000000003
28,1,2.2146828959296783,2.22,56.13,55.23,59.07,20.310000000000002
29,1,2.222205922611499,2.2,58.35,57.43,59.88,21.840000000000003
30,1,2.2223690692456284,2.31,60.57,59.74,60.67,22.74
31,1,2.2511984049833,2.4,62.82,62.14,61.5,22.369999999999997
32,1,2.2646521666649817,2.08,65.08,64.22,62.36,22.63
33,1,2.253014233239592,2.03,67.33,66.25,63.1,23.459999999999997
34,1,2.2842970915095018,2.52,69.61,68.77,63.83,23.06
35,1,2.3361821799522917,2.43,71.95,71.2,64.72,21.96
36,1,2.3435262398902204,2.46,74.29,73.66,65.59,22.46
37,1,2.3629746541552974,2.09,76.65,75.75,66.45,22.46
38,1,2.3373828351393025,2.46,78.99,78.21,67.19,23.54
39,1,2.3932268995787425,2.66,81.38,80.87,68.06,22.63
40,1,2.3884073300219337,2.57,83.77,83.44,68.99,23.249999999999996
41,1,2.4086788848085874,2.69,86.18,86.13,69.89,23.22
42,1,2.471462976919935,2.39,88.65,88.52,70.82,22.11
43,1,2.465412520366916,2.76,91.12,91.28,71.65,22.77
44,1,2.4983357227140823,2.47,93.62,93.75,72.61,22.459999999999997
45,1,2.515304344416871,2.32,96.14,96.07,73.46,22.490000000000002
46,1,2.5405473731631427,2.82,98.68,98.89,74.26,22.279999999999998
47,1,2.524757286139557,2.39,101.2,101.28,75.22,23.090000000000003
48,1,2.5453639583289656,2.44,103.75,103.72,76.04,23.009999999999998
49,1,2.553333745580779,2.35,106.3,106.07,76.87,23.18
50,1,2.592185667181404,2.44,108.89,108.51,77.67,22.73
51,1,2.6502547715713782,2.71,111.54,111.22,78.49,21.750000000000004
52,1,2.700166491564018,2.93,114.24,114.15,79.41,20.610000000000003
53,1,2.7372022847276107,2.86,116.98,117.01,80.39,19.36
54,1,2.745422137997372,2.8,119.73,119.81,81.35,20.51
55,1,2.7621936301665375,2.75,122.49,122.56,82.29,20.710000000000004
56,1,2.7858479196319026,3.02,125.28,125.58,83.2,20.540000000000003
57,1,2.804649078373089,2.54,128.08,128.12,84.21,20.69
58,1,2.850661307837128,2.69,130.93,130.81,85.05,17.990000000000002
59,1,2.8594094035861684,3.08,133.79,133.89,85.93,19.750000000000004
60,1,2.8653704466505734,2.67,136.66,136.56,86.94,20.62
61,1,2.8723498632563476,2.71,139.53,139.27,87.82,21.02
62,1,2.8886318937620707,3.16,142.42,142.43,88.7,21.08
63,1,2.8998480342907205,2.89,145.32,145.32,89.73,21.34
64,1,2.8959467373375056,2.61,148.22,147.93,90.66,21.83
65,1,2.8206837187389375,2.91,151.04,150.84,91.51,23.35
66,1,2.9226546770186985,3.11,153.96,153.95,92.44,21.979999999999997
67,1,2.850586319641284,2.89,156.81,156.84,93.44,23.419999999999998
68,1,2.887589623315781,2.64,159.7,159.48,94.36,23.119999999999997
69,1,2.871260880053376,3.02,162.57,162.5,95.2,23.57
70,1,2.9684308923072953,3.12,165.54,165.62,96.16,22.389999999999997
71,1,2.9351141211805114,3.13,168.48,168.75,97.14,23.15
72,1,3.039863119566905,3.11,171.52,171.86,98.13,21.82
73,1,3.077905091148361,3.29,174.6,175.15,99.1,21.47
74,1,3.048779923965099,2.98,177.65,178.13,100.13,22.27
75,1,3.0008932181902908,3.11,180.65,181.24,101.06,23.189999999999998
76,1,3.05307895804755,3.07,183.7,184.31,102.02,22.7
77,1,3.0888948777340395,2.82,186.79,187.13,102.97,22.43
78,1,3.0358977514239363,3.28,189.83,190.41,103.84,23.36
79,1,3.1254817803127257,2.87,192.96,193.28,104.84,22.38
80,1,3.1169213956320383,3.04,196.08,196.32,105.72,22.709999999999997
81,1,3.280431390453611,3.2,199.36,199.52,106.64,20.269999999999996
82,1,3.2930249406595595,3.04,202.65,202.56,107.61,20.419999999999995
83,1,3.329295270275484,3.41,205.98,205.97,108.53,19.959999999999997
84,1,3.2841536083025495,3.23,209.26,209.2,109.55,21.269999999999992
85,1,3.385509488575589,3.11,212.65,212.31,110.52,19.429999999999996
86,1,3.4044081878338806,3.67,216.05,215.98,111.45,19.419999999999995
87,1,3.4429169739331646,3.7,219.49,219.68,112.54,18.67
88,1,3.4771648979987884,3.5,222.97,223.18,113.63,17.63
89,1,3.4802858457297012,3.65,226.45,226.83,114.66,18.96
90,1,3.5114025515238776,3.29,229.96,230.12,115.73,18.46
