floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,ET
0,5,1.7525008477205437,1.79,1.75,1.79,39.52,21.32
1,5,1.6484707752233567,1.37,3.4,3.16,40.25,27.780544150931263
2,5,1.6716893835321702,1.8,5.07,4.96,40.81,27.420544150931264
3,5,1.7064159209529486,1.87,6.78,6.83,41.54,26.84054415093126
4,5,1.7459525162884135,1.8,8.53,8.63,42.29,26.13054415093126
5,5,1.7741407616327785,1.79,10.3,10.42,43.02,25.68054415093126
6,5,1.7396297842471344,1.6,12.04,12.02,43.74,26.820544150931262
7,5,1.7616341266197693,1.49,13.8,13.51,44.38,26.52054415093126
8,5,1.7979366325774622,1.59,15.6,15.1,44.98,25.85
9,5,1.7579378582238656,1.69,17.36,16.79,45.62,27.02
10,5,1.8009890516353109,1.54,19.16,18.33,46.29,26.25
11,5,1.8117151699200074,1.59,20.97,19.92,46.91,26.21
12,5,1.847643869034832,2.13,22.82,22.05,47.54,25.57
13,5,1.796550132207997,1.52,24.62,23.57,48.39,27.02
14,5,1.8285952014206204,1.61,26.45,25.18,48.99,26.5
15,5,1.8105740871201996,2.03,28.26,27.21,49.62,27.080000000000002
16,5,1.9174259263925308,1.74,30.18,28.95,50.42,24.9
17,5,1.8119350106870593,2.0,31.99,30.95,51.11,27.479999999999997
18,5,1.8500890073077014,1.95,33.84,32.9,51.89,27.019999999999996
19,5,1.905349419804024,2.03,35.75,34.93,52.66,26.199999999999996
20,5,1.935730854776095,1.7,37.69,36.63,53.45,25.909999999999997
21,5,1.9410444216714544,1.84,39.63,38.47,54.11,26.090000000000003
22,5,1.8885964975577725,2.02,41.52,40.49,54.83,27.44
23,5,1.8926643657400164,1.72,43.41,42.21,55.61,27.66
24,5,1.8340864423843,2.13,45.24,44.34,56.27,29.029999999999998
25,5,1.8961126298986992,1.67,47.14,46.01,57.09,28.14
26,5,1.8461710554852975,1.84,48.99,47.85,57.74,29.31
27,5,1.9156429969043554,1.68,50.91,49.53,58.44,28.249999999999996
28,5,1.8476978759514049,1.84,52.76,51.37,59.09,29.729999999999997
29,5,1.8190293229992653,1.88,54.58,53.25,59.79,30.479999999999997
30,5,1.873666013385266,2.09,56.45,55.34,60.51,29.709999999999997
31,5,1.9589848929352038,2.23,58.41,57.57,61.3,28.42
32,5,1.9821838557260525,1.89,60.39,59.46,62.15,28.28
33,5,1.9921883507986762,1.85,62.38,61.31,62.86,28.33
34,5,2.061448410054958,2.28,64.44,63.59,63.56,27.33
35,5,2.0418680423698334,1.92,66.48,65.51,64.42,27.95
36,5,2.0056568529313306,1.77,68.49,67.28,65.14,28.8
37,5,1.985621380561347,2.1,70.48,69.38,65.8,29.34
38,5,1.957062550370778,1.8,72.44,71.18,66.58,30.05
39,5,1.9840542912718557,1.9,74.42,73.08,67.25,29.78
40,5,2.051241533174649,2.23,76.47,75.31,67.96,28.850000000000005
41,5,2.0344900532101797,1.86,78.5,77.17,68.78,29.360000000000003
42,5,2.0053383231873894,1.71,80.51,78.88,69.47,30.03
43,5,2.0508404519545134,1.98,82.56,80.86,70.1,29.45
44,5,2.0787545331280923,1.87,84.64,82.73,70.83,29.19
45,5,2.078364892241936,2.26,86.72,84.99,71.52,29.38
46,5,2.0013424364414107,2.04,88.72,87.03,72.34,30.830000000000002
47,5,2.1082186261595126,2.12,90.83,89.15,73.09,29.310000000000002
48,5,2.1724466841192434,2.06,93.0,91.21,73.86,28.490000000000002
49,5,2.2572664996473577,2.1,95.26,93.31,74.61,27.35
50,5,2.2325770338863684,2.43,97.49,95.74,75.37,27.94
51,5,2.2728994855168883,2.04,99.76,97.78,76.24,27.540000000000003
52,5,2.2048348981166055,2.21,101.96,99.99,76.98,28.78
53,5,2.193946362119113,2.39,104.15,102.38,77.77,29.14
54,5,2.3465532663887276,2.09,106.5,104.47,78.63,27.03
55,5,2.357091319944485,2.5,108.86,106.97,79.37,27.060000000000002
56,5,2.2410444938551173,1.96,111.1,108.93,80.26,29.02
57,5,2.3002780536350698,2.58,113.4,111.51,80.95,28.3
58,5,2.328515663171387,2.42,115.73,113.93,81.87,28.099999999999998
59,5,2.2252517425222704,2.32,117.96,116.25,82.72,29.81
60,5,2.40874991897277,2.42,120.37,118.67,83.54,27.32
61,5,2.4445447645955904,2.56,122.81,121.23,84.38,27.0
62,5,2.312856569896111,2.27,125.12,123.5,85.28,29.099999999999998
63,5,2.4125769174700094,2.49,127.53,125.99,86.07,27.849999999999998
64,5,2.3759368790884965,2.32,129.91,128.31,86.93,28.559999999999995
65,5,2.4201849078105226,2.49,132.33,130.8,87.73,28.109999999999996
66,5,2.494336699460162,2.26,134.82,133.06,88.59,27.259999999999998
67,5,2.534062121245338,2.35,137.35,135.41,89.37,26.879999999999995
68,5,2.5555676849731204,2.79,139.91,138.2,90.17,26.759999999999998
69,5,2.6102620850560996,2.51,142.52,140.71,91.13,26.22
70,5,2.6035731819278927,2.38,145.12,143.09,91.98,26.5
71,5,2.508708231552109,2.53,147.63,145.62,92.79,27.959999999999997
72,5,2.570099992954625,2.4,150.2,148.02,93.65,27.31
73,5,2.444834413373251,2.55,152.64,150.57,94.46,29.15
74,5,2.45780685661863,2.39,155.1,152.96,95.31,29.14
75,5,2.443485316208911,2.63,157.54,155.59,96.11,29.48
76,5,2.5542827350207893,2.57,160.09,158.16,96.99,28.189999999999998
77,5,2.4686933393144823,2.51,162.56,160.67,97.85,29.47
78,5,2.4995859226079835,2.24,165.06,162.91,98.68,29.220000000000002
79,5,2.5542145671667296,2.74,167.61,165.65,99.42,28.65
80,5,2.5483397414607394,2.63,170.16,168.28,100.32,28.89
81,5,2.5252600172815263,2.32,172.69,170.6,101.19,29.340000000000003
82,5,2.441774455157105,2.38,175.13,172.98,101.95,30.530000000000005
83,5,2.502825633606379,2.28,177.63,175.26,102.73,29.890000000000004
84,5,2.510362382304791,2.22,180.14,177.48,103.47,29.919999999999998
85,5,2.457445041870205,2.16,182.6,179.64,104.19,30.700000000000003
86,5,2.4946655292384294,2.31,185.09,181.95,104.89,30.349999999999998
87,5,2.4994599898706036,2.34,187.59,184.29,105.63,30.41
88,5,2.584955228557365,2.65,190.17,186.94,106.39,29.48
89,5,2.5677271546864886,2.52,192.74,189.46,107.24,29.83
90,5,2.569222930514545,2.81,195.31,192.27,108.04,29.939999999999998
